Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,,,,,,,,,,"302,876",685070,1093772,"1,529,661","484,047","797,780","1,271,667","1,795,151","451,476",919956,"1,443,861","2,086,664","573,749","1,179,807","1,903,494","2,757,742","653,696","1,301,532","2,021,644","2,918,815","712,176","1,382,108","2,088,032","2,879,435","659,434",1448246,2165611,"3,228,585","910,897",1766633,"2,674,962","3,739,016","1,030,941","2,098,042","3,624,821","4,924,773","1,310,625","2,671,082","1,435,205","1,530,399","1,432,519","1,469,961","1,443,885","964,047","1,023,298","867,411","923,637","1,145,854","1,091,906","1,035,057","1,378,708","1,920,307","1,885,454","1,784,791","1,917,003",,,,
net fee and commission income,,,,,,,,,,55756,114069,168817,208123,58795,"120,077","182,710","203,468","45,855",108176,"168,295","233,570","74,266","143,878","204,239","266,821","67,599","134,294","198,886","254,882",89377,"167,603","225,816","303,619",61847,119257,198090,285937,78553,167706,249442,346180,89592,172147,"417,976","245,309",247097,474656,"183,797","261,516","224,288","256,522","319,169","215,953","186,640","170,916","217,961","192,648","206,910","259,784","231,487","333,704","261,815","219,184","267,607",,,,
total operating income,,,,,,,,,,"407,026",897174,"1,398,679","1,921,376","563,307","984,348","1,556,226","2,192,940","565,525","1,163,863","1,802,602","2,609,735","717,186","1,478,512","2,337,353","3,372,853","778,144","1,572,705","2,469,629","3,550,200","882,646","1,725,544","2,645,256","3,659,335","823,644","1,780,782","2,788,844","4,137,295","1,125,294","2,237,976","3,374,597","4,744,352","1,274,666","2,610,739","4,195,462","5,717,142","1,602,716","3,330,021","1,745,331","1,890,111","1,742,195","1,843,689","1,850,330","1,264,120","1,268,007","1,152,484","1,329,775","1,615,276","1,663,245","1,247,582","1,758,340","2,381,352","2,195,437","2,063,520","2,241,021",,,,
staff expenses,,,,,,,,,,"58,661",107722,"159,602","776,364","59,193","107,027","169,756","293,131","88,282","160,895","237,097","352,050","93,687","167,459","297,134","461,809","128,513","229,818","355,257","511,864",134553,"242,809","356,035","687,510","181,621","319,548","465,180","699,662","186,157","334,980","484,546","881,422","242,441","429,945","1,045,758","1,037,617",411197,803858,"389,650","413,168","458,843","428,843","428,668","315,517","388,056","381,133","378,776","447,297","469,210","398,327","463,058","649,642","595,193","516,651","527,489",,,,
operating profit,,,,,,,,,,274426,591241,961483,1272090,324834,"673,704","1,093,945","1,516,697","383,155",763250,"1,231,809","1,539,205","513,515","1,006,835","1,621,650","2,302,749","550,255","1,063,032","1,687,373","2,420,315","611,918","1,182,301","1,844,443","2,252,641","539,005",1173971,1880548,2665971,769478,1486793,2355056,3059568,830957,1775805,"2,665,235","3,862,894",904823,2043056,"1,123,204","1,189,708","986,999","1,169,980","1,204,110","215,744","478,263","895,696","779,464","463,445","827,340","371,640","967,811","1,472,864","1,231,866","1,036,611","1,254,409",,,,
non operating income expense,,,,,,,,,,"1,543",8748,"9,749","83,553","15,456","1,248","3,095",1433,"1,257","2,080","3,984","25,156","1,359","2,751","3,733","8,337","1,464","4,155","5,403","9,934",2727,"4,191","6,224","12,484",1581,"1,581","53,003","12,026","2,021","4,662","7,452","10,936","1,761","4,399",-,481,5,320,-174,"-3,890",-44,-36,-71,-462,-28,-218,-117,-160,-379,-143,-91,"1,815",-99,197,-36,,,,
profit for the period,,,,,,,,,,"175,617",383720,"631,869","831,766","207,348","429,820","698,422","931,304","244,626","487,028","786,414","1,090,564","327,647","642,464","1,034,335","1,471,117","351,094","679,119","1,080,948","1,549,699","391,137","771,226","1,193,883","1,574,352","363,703","753,775","1,209,052","1,730,242","513,421","971,575","1,525,882","1,981,698","531,474","1,140,081","1,892,315","2,544,536",633373,1429915,"786,121","830,072","690,868","818,961","842,828","163,643","334,764","627,140","545,542","320,831","578,873","260,048","677,404","1,029,735","862,237","725,766","878,061",,,,
capital fund to rwa,,,,,,,,,,10.37,10.5,11.5,10.77,10.96,10.96%,11.95%,12.07,10.37%,10.3,10.98%,11.08%,11.13%,11.09%,11.59%,13.21%,11.79%,11.71%,11.92%,12.89%,11.08,11.54%,12.04%,13.32%,14.78,14.49,13.95,12.79,13.22,13.25,13.88,14.85,15.46,15.68,15.7,14.56%,13.28,12.57,13.38%,13.75%,13.79%,12.33%,12.62%,13.32%,13.03%,13.39%,12.82%,12.51%,12.51%,12.12%,12.25%,11.95%,13.39%,12.41%,12.22%,,,,
non performing loan to total loan,,,,,,,,,,0.42,0.39,0.38,0.16,0.4,0.33,0.32,0.34,0.37,0.37,0.49,0.84,0.71,0.7,0.7,0.62,0.6,0.6,0.62,0.62,0.63,0.65,0.63,0.66,0.67,0.67,0.63,0.38,0.36,0.7,0.67,0.51,0.26,0.25,0.23,0.2,0.21,0.19,0.18%,0.16%,0.17%,0.16%,0.2,0.22%,0.22%,0.19%,0.12%,0.12%,0.13%,0.26%,0.26%,0.24%,0.33%,0.55%,0.70%,,,,
total loan loss provision to npl,,,,,,,,,,100,100,100,100,100,100.00%,100.00%,100,100.00%,100,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100,100.00%,100.00%,100%,100,100,100,100,100,100,100,100,100,493.84,533.99,675%,592.23,624.03,638.81%,714%,662.96%,707.89%,581.8,682%,737.76%,727.05%,1039.14%,1311%,1227.15%,619.20%,618.10%,676%,486.97%,305.77%,250.30%,,,,
cost of fund,,,,,,,,,,,4.07,3.62,4.75,4.1,6.67%,6.71%,6.91,7.36%,7.1,6.96%,6.66%,4.94%,4.70%,4.59%,4.53%,4.46%,3.89%,3.59%,3.56%,3.08,3.16%,3.30%,3.26%,2.72,2.37,2.03,2.24,2.32,2.79,4.18,4.82,4.85,5.01,5.39,5.61%,6.08,6.23,6.07,6.21,6.38,6.44,6.39%,6.11,5.37,4.7,4.55,4.48,4.97,5.98,6.82,7.31,7.75,8.15,8.02,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,7.04%,7.03%,7.16%,7.06%,6.77%,6.39%,6.40%,6.07,6.01%,6.09%,6.14%,5.59,5.17,4.72,4.86,5.02,5.48,7.03,7.68,7.91,7.84,8.18,8.45%,8.8,8.22,8.01%,8.12%,8.52%,8.46%,8.34%,8.05%,7.07%,6.34%,6.10%,5.99%,7.00%,7.62%,8.36%,8.82%,9.30%,9.97%,9.94%,,,,
net interest spread,,,,,,,,,,,4.21,3.1,4.78,4.23,4.14%,4.37%,4.6,4.90%,4.86,4.98%,5.32%,5.53%,5.17%,5.62%,5.68%,4.88%,6.93%,6.54%,5.69%,5.67,4.57,4.84,4.76,4.9,4.95,4.98,4.89,4.82,4.89,4.74,4.48,4.83,4.96,4.75,4.72,4.23,4.38,4.69,4.29,5.25,5.33,5.13,3.59,3.94,3.7,3.36,3.24,2.61,2.7,3.55,4.06,4.17,4.38,4.2,,,,
market share price,,,,,,,,,,2390,1640,1449,1630,1075,1100,1121,1094,945,728,751,1033,1144,1380,1593,1591,1590,2210,2205,2631,1911,1982,2133,2120,3079,2291,2802,3385,3666,1925,2080,1353,1243,907,797,663,639,534,600,666,547,596,612,675,711,803,814,738,714,604,519,439,504,507,508,,,,
return on equity,,,,,,,,,,,33.61,35.09,33.52,32.41,33.07,35.83,35.83,33.13,32.98,35.5,36.92,32.62,31.98,34.33,36.62,29.83,28.85,30.61,32.98,29.31,28.9,29.83,29.5,21.07,22.27,23.81,25.56,24.18,23.15,24.12,23.5,17.51,18.88,19.91,21.6,,,21.30%,18.13%,16.46%,17.22%,17.07%,13.45%,7.08%,9.88%,9.59%,9.30%,11.09%,8.06%,9.50%,11.76%,14.73%,13.41%,13.61%,,,,
return on total assets,,,,,,,,,,1.8,1.96,2.16,12.09,2.09,2.04,2.19,2.1,2.04,2.01,2.12,2.11,2.31,2.26,2.36,2.39,2.1,2.01,2.08,2.25,2.12,1.97,2.02,1.84,1.55,1.56,1.64,1.64,1.84,1.72,1.79,1.72,1.78,1.82,1.95,1.95,,,2.02,1.94,1.80%,1.73%,1.81,1.41,0.77%,1.00%,1.04%,0.92%,1.20%,0.83%,0.99%,1.17%,1.66%,1.39%,1.47%,,,,
credit to deposit ratio,,,,,,,,,,,79.13,79.36,71.34,12.11,79.70%,76.34%,71.85,70.62%,76.02,73.18,69.84,70.88,79.65,77.91,71.84%,74.00%,78.38,78.84,75.06%,79.45,78.92%,79.17%,69.47%,67.18,72.15,76.43,76.24,76.97,76.6,70.89,76.94,76.91,75.84,75.65,75.98%,77.32,76.23,76.69%,75.03%,74.89%,75.04%,75.05%,68.57%,70.27%,70.05%,70.05%,72.52%,86.39%,89.83%,91.78,86.04%,86.49%,86.99%,86.82%,,,,
