Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,903,192","23,903,192","29,728,445","23,903,192","29,728,445","34,675,638","34,693,285","34,693,285","34,899,585","20,865,381","20,865,381","20,865,381","20,865,381","20,865,381","165,434,787","165,434,787","165,434,787",,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,271,106","222,547,153","222,486,988","216,421,596","195,532,789","195,532,789","177,374,958","278,311,235","145,582,001","141,146,454","131,039,558","131,039,558","152,278,660","209,361,154","221,972,646","221,972,646","237,069,461",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,238,131,102","2,307,988,211","2,337,514,233","2,348,424,290","2,384,728,127","2,497,011,330","2,545,458,664","2,477,873,359","2,813,704,397","2,884,386,021","2,834,114,342","2,873,087,005","2,888,791,695","3,690,661,775","3,646,884,128","3,610,855,466","3,653,294,544",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,604,702","93,707,626","88,252,424","84,914,695","80,160,666","78,957,385","75,056,245","67,402,885","78,014,658","84,643,386","77,421,900","70,637,292","65,799,641","211,495,270","169,298,170","169,079,554","174,065,811",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,302,715","50,606,230","28,865,590","27,677,624","56,807,892",,,,,,,,,,"45,415,038","23,733,727","33,367,537",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,905,815,392","2,122,915,590","1,732,474,265","1,596,402,301","1,428,530,181","1,193,052,949","1,622,849,385","2,033,668,122","1,712,082,680","1,559,055,922","2,045,109,271","2,158,600,441","2,111,124,244","2,794,726,149","2,953,372,414","2,798,293,598","3,496,292,926",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,941,110,968","90,031,604,935","94,926,325,350","97,540,314,597","104,194,623,713","110,438,338,023","118,851,351,214","128,165,426,486","154,498,475,904","167,991,453,329","174,757,848,672","176,064,599,380","184,034,069,901","194,496,996,462","192,175,143,262","192,844,814,071","190,446,577,269",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,711,976,002","3,926,662,470","6,097,289,793","7,728,510,422","8,607,956,363","3,688,903,954","2,342,909,307","3,830,427,977","4,509,576,906","2,765,001,954","1,796,880,588","2,883,526,588","2,416,401,714","4,066,447,767","3,148,651,605","3,366,532,615","3,484,879,528",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,229,936,531","1,212,586,471","2,534,762,103","425,691,346","598,057,171","567,577,082","30,940,454","133,850,000","1,205,558,824","1,205,558,824","3,908,678,824","7,710,926,692","12,000,105,868","11,070,250,868","8,912,550,868","5,170,145,000","1,170,145,000",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,"70,355,483,176",4.20,"75,165,777,080","77,438,853,151","88,193,854,886",4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2,449,809",,,,,,,,,,"45,500,000","45,500,000","45,500,000","45,500,000","22,000,000","22,000,000",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,511,693","36,436","175,415,183",,"57,129,746",,,,,,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,306,626",,"5,306,626",,,"5,307,266","5,307,266","5,306,626","5,306,626","5,306,626","5,306,626","5,306,626","5,306,626","5,306,626","5,306,626","5,363,126","5,363,126",,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,347,112","17,241,018","63,766,511","133,073,284","223,252,316","163,198,617","183,482,667","130,742,796","48,672,080",,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,581,664,612","1,478,644,780","1,624,250,724","1,441,894,470","1,711,156,450","1,505,385,951","1,799,118,698","2,528,730,136","2,007,744,358","2,117,790,024","2,832,125,350","2,175,410,993","2,348,990,974","3,491,516,795","2,448,898,812","2,849,997,847","2,793,291,507",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"498,771,304","499,145,186","499,280,168","499,418,060","2,976,496,459","2,974,159,468","2,974,731,311","2,475,253,776","2,475,642,435","2,476,082,261","2,476,548,022","2,476,956,337","2,477,375,020","2,477,875,480","2,478,374,594","2,478,829,294","2,479,295,541",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,833,398,968","77,474,971,892","82,994,488,134","85,264,505,072","91,507,934,777","96,938,085,570","104,767,991,089","113,890,333,751","137,214,794,662","149,155,071,322","155,125,389,412","156,264,185,845","164,001,027,378","173,728,110,535","171,350,118,840","172,897,807,619","170,118,714,463",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,371,064,773","8,371,064,773","8,622,196,716","8,622,196,716","8,622,196,716","9,089,817,290","9,089,817,290","9,817,002,673","11,662,040,912","12,576,923,115","12,576,923,115","14,200,974,006","14,200,974,006","14,200,974,006","14,200,974,006","14,200,974,006","14,200,974,006",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,816,126","46,816,126",,,,"4,124,402","4,124,402",,,,,,,"136,128,186",,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"786,418,347","1,275,166,456","268,246,284","679,118,760","476,872,017","908,853,612","979,340,011","912,203,954","1,416,584,918","1,719,917,092","1,704,251,741","775,254,074","894,341,909","1,483,966,412","1,276,571,051","162,984,228","204,275,471",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,829,624,193","2,778,423,499","2,955,050,293.28","2,884,858,402","3,496,269,366","3,402,172,411","3,912,038,156","3,446,630,432","4,100,947,658","4,429,391,918","5,240,719,731","4,731,224,631","4,847,090,511","4,860,668,005","5,271,075,902","5,492,861,646","5,831,246,311",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,788,561","85,162,189","86,343,923","89,635,647","91,350,837","95,284,738","98,040,266","99,255,676","104,107,754","110,149,882","110,564,673","92,960,824","90,636,097","87,149,318","76,403,463","90,186,571","91,367,018",,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,107,712,000","12,556,633,043","11,931,837,216","12,275,809,525","12,686,688,936","13,500,252,453","14,083,360,125","14,275,092,735","17,283,681,242","18,836,382,007","19,632,459,259","19,800,413,535","20,033,042,523","20,768,885,927","20,825,024,422","19,947,006,451","20,327,862,806",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,941,110,968","90,031,604,935","94,926,325,350","97,540,314,597","104,194,623,713","110,438,338,023","118,851,351,214","128,165,426,486","154,498,475,904","167,991,453,329","174,757,848,672","176,064,599,380","184,034,069,901","194,496,996,462","192,175,143,262","192,844,814,071","190,446,577,269",,,,
